EPIC,User Story,Task,Description,Team,Estimation (hours),Dependencies,Priority,Status,Sprint,Milestone,EstadoReal,DetalleFaltante
EPIC-01: Language Core,"US-02: Como desarrollador, quiero un lexer funcional para tokenizar código fuente",TASK-005: Implementar string interpolation en lexer,Soporte para ${} dentro de strings,Compiler Frontend,16,TASK-004,P0,Completed,5,Vela 1.0,No Implementado,"String interpolation ${} no está implementado en el lexer. El lexer actual no reconoce interpolación de strings."
EPIC-01: Language Core,"US-02: Como desarrollador, quiero un lexer funcional para tokenizar código fuente",TASK-006: Implementar tracking de posiciones,"Line numbers, column numbers, offsets para error reporting",Compiler Frontend,12,TASK-004,P0,Completed,5,Vela 1.0,No Implementado,"Tracking de posiciones (line/column/offset) no está implementado. El lexer no reporta posiciones precisas."
EPIC-01: Language Core,"US-02: Como desarrollador, quiero un lexer funcional para tokenizar código fuente",TASK-007: Tests unitarios de lexer,Suite completa de tests para todos los tokens,QA,24,TASK-004,P0,Completed,5,Vela 1.0,No Implementado,"No existe suite completa de tests unitarios para el lexer. Solo hay tests básicos ignorados."
EPIC-01: Language Core,"US-03: Como desarrollador, quiero un parser que genere AST válido",TASK-009: Implementar Pratt parsing para expresiones,Manejo correcto de precedencia en expresiones,Compiler Frontend,40,TASK-008,P0,Completed,6,Vela 1.0,No Implementado,"Pratt parsing no está implementado. El parser usa recursive descent básico sin precedencia operator."
EPIC-01: Language Core,"US-03: Como desarrollador, quiero un parser que genere AST válido",TASK-011: Implementar error recovery en parser,Estrategias de recuperación para continuar parseando,Compiler Frontend,40,TASK-008,P1,Completed,6,Vela 1.0,No Implementado,"Error recovery no está implementado. El parser falla completamente en errores de sintaxis."
EPIC-01: Language Core,"US-03: Como desarrollador, quiero un parser que genere AST válido",TASK-012: Tests de parser con casos edge,Suite de tests con código válido e inválido,QA,32,TASK-008,P0,Completed,6,Vela 1.0,No Implementado,"No existe suite completa de tests para parser con casos edge y código inválido."
EPIC-01: Language Core,"US-03B: Como desarrollador, quiero keywords específicos por tipo para código más semántico",TASK-012A: Implementar sistema de imports con prefijos,"Implementar lógica del parser para system:, package:, module:, library:, extension:, assets:",Compiler Frontend,24,TASK-008,P0,Completed,7,Vela 1.0,No Implementado,"Sistema de imports con prefijos no está implementado. No hay soporte para system:/package:/module:/library:/extension:/assets:"
EPIC-01: Language Core,"US-03B: Como desarrollador, quiero keywords específicos por tipo para código más semántico",TASK-012B: Implementar parser para 30 keywords específicos,"Parsing de widget, component, service, repository, controller, usecase, dto, entity, valueObject, model, factory, builder, strategy, observer, singleton, adapter, decorator, guard, middleware, interceptor, validator, module, store, provider, actor, pipe, task, helper, mapper, serializer",Compiler Frontend,64,TASK-012A,P0,Completed,7,Vela 1.0,No Implementado,"Parser para keywords específicos no está implementado. Keywords como widget, component, service, etc. no son reconocidos."
EPIC-01: Language Core,"US-03B: Como desarrollador, quiero keywords específicos por tipo para código más semántico",TASK-012C: Implementar AST nodes para keywords específicos,Nodos específicos para cada tipo con metadata,Compiler Frontend,48,TASK-012B,P0,Completed,7,Vela 1.0,No Implementado,"AST nodes para keywords específicos no existen. No hay nodos AST para widget, component, service, etc."
EPIC-02: Type System,"US-04: Como desarrollador, quiero un type checker robusto para validar tipos",TASK-013: Diseñar representación interna de tipos,"Estructura de datos para tipos: primitivos, compuestos, generics, etc.",Language Design,24,,P0,Completed,8,Vela 1.0,No Implementado,"Representación interna de tipos no está implementada. No existe type system en el compilador."
EPIC-02: Type System,"US-04: Como desarrollador, quiero un type checker robusto para validar tipos",TASK-014: Implementar algoritmo de inferencia Hindley-Milner,Type inference completo con unification,Compiler Frontend,80,TASK-013,P0,Completed,8,Vela 1.0,No Implementado,"Hindley-Milner type inference no está implementado. No hay type inference en absoluto."
EPIC-02: Type System,"US-04: Como desarrollador, quiero un type checker robusto para validar tipos",TASK-015: Implementar type checking de expresiones,Validación de tipos en todas las expresiones,Compiler Frontend,64,TASK-014,P0,Completed,8,Vela 1.0,No Implementado,"Type checking de expresiones no existe. No hay validación de tipos."
EPIC-02: Type System,"US-04: Como desarrollador, quiero un type checker robusto para validar tipos",TASK-016: Implementar type checking de statements,Validación en statements y control flow,Compiler Frontend,48,TASK-015,P0,Completed,8,Vela 1.0,No Implementado,"Type checking de statements no existe. No hay validación de tipos en statements."
