Epic,User Story,Task,Description,Team,Estimation (hours),Dependencies,Priority,Status,Sprint,Milestone,Implementation_Status,Details,Missing_Components
EPIC-01: Language Core,"US-02: Como desarrollador, quiero un lexer funcional para tokenizar código fuente",TASK-005: Implementar string interpolation en lexer,Soporte para ${} dentro de strings,Compiler Frontend,16,TASK-004,P0,Completed,5,Vela 1.0,NO_IMPLEMENTADO,"No hay soporte para interpolación de strings con ${}. Solo strings básicas sin variables embebidas","String interpolation parser, AST node para interpolated strings, runtime evaluation"
EPIC-01: Language Core,"US-02: Como desarrollador, quiero un lexer funcional para tokenizar código fuente",TASK-007: Tests unitarios de lexer,Suite completa de tests para todos los tokens,QA,24,TASK-004,P0,Completed,5,Vela 1.0,NO_IMPLEMENTADO,"No hay tests unitarios específicos para el lexer. Solo tests genéricos","Unit test suite for lexer, token recognition tests, edge cases"
EPIC-01: Language Core,"US-03: Como desarrollador, quiero un parser que genere AST válido",TASK-009: Implementar Pratt parsing para expresiones,Manejo correcto de precedencia en expresiones,Compiler Frontend,40,TASK-008,P0,Completed,6,Vela 1.0,NO_IMPLEMENTADO,"No hay Pratt parsing. Usa recursive descent básico sin precedencia operator","Pratt parser implementation, precedence climbing algorithm"
EPIC-01: Language Core,"US-03: Como desarrollador, quiero un parser que genere AST válido",TASK-011: Implementar error recovery en parser,Estrategias de recuperación para continuar parseando,Compiler Frontend,40,TASK-008,P1,Completed,6,Vela 1.0,NO_IMPLEMENTADO,"Parser falla en primer error, no hay recuperación","Error recovery strategies, panic mode, synchronization points"
EPIC-01: Language Core,"US-03: Como desarrollador, quiero un parser que genere AST válido",TASK-012: Tests de parser con casos edge,Suite de tests con código válido e inválido,QA,32,TASK-008,P0,Completed,6,Vela 1.0,NO_IMPLEMENTADO,"No hay tests específicos del parser","Parser test suite, valid/invalid code tests, error handling tests"
EPIC-01: Language Core,"US-03B: Como desarrollador, quiero keywords específicos por tipo para código más semántico",TASK-012A: Implementar sistema de imports con prefijos,"Implementar lógica del parser para system:, package:, module:, library:, extension:, assets:",Compiler Frontend,24,TASK-008,P0,Completed,7,Vela 1.0,NO_IMPLEMENTADO,"No hay sistema de imports con prefijos","Import prefix parsing, module resolution logic, asset loading"
EPIC-01: Language Core,"US-03B: Como desarrollador, quiero keywords específicos por tipo para código más semántico",TASK-012B: Implementar parser para 30 keywords específicos,"Parsing de widget, component, service, repository, controller, usecase, dto, entity, valueObject, model, factory, builder, strategy, observer, singleton, adapter, decorator, guard, middleware, interceptor, validator, module, store, provider, actor, pipe, task, helper, mapper, serializer",Compiler Frontend,64,TASK-012A,P0,Completed,7,Vela 1.0,NO_IMPLEMENTADO,"No hay parsing para keywords específicos","Keyword parsers, AST nodes for each keyword type"
EPIC-01: Language Core,"US-03B: Como desarrollador, quiero keywords específicos por tipo para código más semántico",TASK-012C: Implementar AST nodes para keywords específicos,Nodos específicos para cada tipo con metadata,Compiler Frontend,48,TASK-012B,P0,Completed,7,Vela 1.0,NO_IMPLEMENTADO,"No hay AST nodes específicos","AST node definitions for all keyword types"
EPIC-02: Type System,"US-04: Como desarrollador, quiero un type checker robusto para validar tipos",TASK-013: Diseñar representación interna de tipos,"Estructura de datos para tipos: primitivos, compuestos, generics, etc.",Language Design,24,,P0,Completed,8,Vela 1.0,NO_IMPLEMENTADO,"No hay representación interna de tipos","Type representation structures, type constructors, unification algorithm"
EPIC-02: Type System,"US-04: Como desarrollador, quiero un type checker robusto para validar tipos",TASK-014: Implementar algoritmo de inferencia Hindley-Milner,Type inference completo con unification,Compiler Frontend,80,TASK-013,P0,Completed,8,Vela 1.0,NO_IMPLEMENTADO,"No hay type inference","Hindley-Milner algorithm, unification, constraint solving"
EPIC-02: Type System,"US-04: Como desarrollador, quiero un type checker robusto para validar tipos",TASK-015: Implementar type checking de expresiones,Validación de tipos en todas las expresiones,Compiler Frontend,64,TASK-014,P0,Completed,8,Vela 1.0,NO_IMPLEMENTADO,"No hay type checking","Expression type checker, type environment, error reporting"
EPIC-02: Type System,"US-04: Como desarrollador, quiero un type checker robusto para validar tipos",TASK-016: Implementar type checking de statements,Validación en statements y control flow,Compiler Frontend,48,TASK-015,P0,Completed,8,Vela 1.0,NO_IMPLEMENTADO,"No hay type checking de statements","Statement type checker, control flow analysis"
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos",TASK-016A: Implementar validación de widget/component,"Validar que widgets tengan build(), componentes tengan render(), lifecycle hooks correctos (init, dispose, mount, update)",Compiler Frontend,40,TASK-016,P0,Completed,9,Vela 1.0,NO_IMPLEMENTADO,"No hay validación de widgets/components","Widget/component validators, lifecycle hook checking"
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos",TASK-016B: Implementar validación de service/repository,"Validar que services no tengan estado mutable, repositories implementen CRUD",Compiler Frontend,32,TASK-016A,P0,Completed,9,Vela 1.0,NO_IMPLEMENTADO,"No hay validación de services/repositories","Service/repository validators, CRUD method checking"
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos",TASK-016C: Implementar validación de entity/dto/valueObject,"Validar que entities tengan id, dtos sean serializables, valueObjects sean inmutables",Compiler Frontend,32,TASK-016B,P0,Completed,9,Vela 1.0,NO_IMPLEMENTADO,"No hay validación de entities/dtos/valueObjects","Entity/DTO/valueObject validators, serialization checking"
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos","TASK-016D: Implementar validación de patrones (factory, builder, strategy, etc)",Validar que cada patrón cumpla con su contrato específico,Compiler Frontend,48,TASK-016C,P0,Completed,9,Vela 1.0,NO_IMPLEMENTADO,"No hay validación de patrones","Pattern validators, contract checking for each pattern type"
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos",TASK-016E: Implementar validación de controller/middleware/guard,"Validar que controllers tengan endpoints, middlewares implementen handle(), guards tengan canActivate()",Compiler Frontend,40,TASK-016D,P0,Completed,9,Vela 1.0,NO_IMPLEMENTADO,"No hay validación de controllers/middleware/guards","Controller/middleware/guard validators, method signature checking"
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos",TASK-016F: Tests de validación de keywords,Suite completa de tests de reglas inquebrantables para cada tipo,QA,56,TASK-016E,P0,Completed,9,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de validación","Validation test suite, keyword rule tests"
EPIC-02: Type System,"US-04C: Como desarrollador, necesito parsing completo de module y decoradores arquitectónicos",TASK-016G: Implementar ModuleDeclaration en AST,"Creada clase ModuleDeclaration(Declaration) con fields: name, decorators, body, declarations, exports, providers, imports. Integrada con visitor pattern. Commit: 62744fe. Archivos: src/parser/ast_nodes.py. Parser ahora puede reconocer module declarations. Clase Decorator agregada como helper para representar decoradores.",Compiler Frontend,40,TASK-016F,P0,Done,9,Vela 1.0,NO_IMPLEMENTADO,"No hay ModuleDeclaration en AST","ModuleDeclaration AST node, visitor pattern integration"
